TOKEN	L1	L2
UHenry	0	0
Fynn	0	0
ufake	1	0
ubhememe	1	1
wesigqoko	1	0
esinompheme	0	1
omude.	0	0

Inhlangano	0	0
ethile	0	1
yezemvelo	0	0
iyophelelwa	1	0
yisikhathi	0	0
uma	0	0
umhlaba	1	0
ungasasetshenziselwa	0	0
izinhloso	1	0
zokongiwa	0	0
kwemvelo.	0	0

Uma	0	0
kunjalo	0	0
umhlaba	1	0
uyobalelwa	0	1
njengokusebenza	1	0
kwawo	0	0
okusha	1	0
kusukela	0	0
ngosuku	0	0
okwaqala	0	0
ngalo.	0	0

Uma	0	0
kunikezwe	0	0
ngolwazi	1	0
lomuntu	0	0
siqu	0	1
kule	0	0
webhusayithi,	0	1
abasebenzisi	0	0
abafisa	0	0
ukubuyekeza	1	0
ulwazi	0	0
lwabo	0	0
bangenza	0	0
lokho	0	0
ngesicelo	1	0
sokucela	0	0
ukubuyekeza	0	0
ngokusebenzisa	0	0
ilinki	0	0
yefeyisibhuku.	0	0

Sinesimemezelo	1	0
esenziwe	0	0
yilowo	0	1
muntu	0	0
esho	0	0
ukuthi	0	0
ngokwazi	1	0
nangokukholwa	0	0
kwakhe	0	0
siyiqiniso.	1	0

Sinesimemezelo	0	0
lapho	0	0
esho	0	0
khona	0	0
ukuthi,	0	0
usenze	0	0
enolwazi	1	1
lokuthi	0	0
kungenzeka	0	0
atholakale	0	0
enecala,	1	0
uma	0	0
ebazi	0	0
ukuthi	0	0
akusilo	0	0
iqiniso.	1	0

Isilandisostatemente	0	0
leso	0	0
sikhonjiswe	1	0
omunye	0	0
othintekayo	0	1
kulolu	0	0
daba,	1	0
kusasele	0	0
okungenani	0	0
izinsuku	1	0
eziyisikhombisa	0	0
ngaphambi	0	0
kosuku	0	0
lokuphenywa	0	0
kodaba.	0	0

Okuyogxilwa	0	0
kakhulu	0	0
kukho	0	0
wukuxhumanisa	1	1
izakhiwo	1	0
ezahlukene	0	0
zolimi	0	0
nemisebenzi	1	0
yokuqhuba	0	0
umsebenzi	0	0
wenhlangano	0	0
ethile.﻿	0	0

Kwenziwa	0	0
ngenhloso	1	0
yokuqinisa	0	1
igalelo	1	0
lokudidiyela	0	0
nokusebenzisa	1	0
ngendlela	0	0
egculisayo	0	1
izinsiza.	0	0

Noma	0	0
ngubani	0	0
ohlola	1	0
noma	0	0
olungisa	0	0
imishini	0	0
esetshenziswa	0	0
ekuxhumaneni,	1	0
ekuhloleni	1	0
indlela	0	0
yendiza,	0	0
noma	0	0
ukuhlola	0	0
isimo	0	0
ngaphakathi	0	0
endizeni	0	0
eyosebenza	0	0
ngaphansi	0	0
kohlelo	0	0
oluthile,	0	1
kufanele	0	0
ayihlole	0	0
ngendlela	0	0
enqunywe	0	0
wuMqulu	1	0
wenhlangano	0	0
yezokuhlola.	0	0

Ukuya	0	0
emtholampilo	1	0
wabakhulelwe,	0	1
kwenza	0	0
ukuthi	0	0
abahlengikazi	1	0
nodokotela	0	0
bakwazi	0	0
ukuthola	0	0
kusenesikhathi	1	0
uma	0	0
kukhona	0	0
inkinga.	1	0

Kubalula	0	0
ukuthi	0	0
basheshe	1	0
bathole	0	0
ezinye	0	1
izifo	1	0
ezingaqubuka	1	0
ngesikhathi	0	0
ukhulelwe.	0	0

Lezi	0	0
yizifo	1	0
ezifana	0	0
noshukela,	1	0
ukugijima	0	0
kakhulu	0	0
komfutho	0	0
wegazi,	1	0
ingculazi,	1	0
izifo	0	0
ezithathelana	0	0
ngocansi,	1	0
nokunye.	0	1

Abahlongoza	1	0
ukuthumela	0	0
impahla	1	0
ngaphandle	0	0
kwezwe,	1	0
kumele	0	0
bangene	0	0
engosini	0	0
ethile	0	1
ye	0	0
inthanethi.	0	0

Lapha	0	0
bazothola	1	0
uhlelo	0	0
lwe	0	0
inthanethi	1	0
ngayo	0	1
yonke	0	1
inqubo	0	0
yokuthumela	1	0
impahla	0	0
ngaphandle	0	0
kwezwe.	0	0

Kukhona	0	0
nomunye	0	1
udokotela	1	0
esinolwazi	1	0
