TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC
Tannierige	0	0	0	0
voetstappe	0	0	1	0
dui	1	0	0	0
aan	0	0	0	0
dat	0	0	0	0
sy	0	0	0	0
die	0	0	0	0
kamer	0	0	0	0
verlaat.	0	0	0	1

Die	0	0	0	0
gevoel	0	0	0	0
was	0	0	0	0
asemrowend	1	0	1	0
lekker.	0	0	0	1

Die	0	0	0	0
ou	0	0	0	0
waarmee	0	0	0	1
jy	0	0	0	0
saamleef	1	0	1	0
is	0	0	0	0
nie	0	0	0	0
jou	0	0	0	0
man	0	0	0	0
nie.	0	0	0	0

Wees	0	0	0	0
sommer	0	0	0	0
net	0	0	0	0
simpel	1	0	1	0
as	0	0	0	0
dit	0	0	0	0
moet.	0	0	0	1

Weereens	1	0	0	0
beklemtoon	0	0	0	0
Jesus	0	0	0	0
'n	0	0	0	0
daadwerklike	0	1	0	1
keuse	0	0	0	0
vir	0	1	0	0
en	0	0	0	0
verbintenis	0	0	1	0
tot	0	0	0	0
Hom.	0	0	0	0

Groep	0	0	1	0
is	0	0	0	0
vanaand	0	0	0	0
byna	0	0	0	0
onvanpas	0	0	0	0
deftig	0	0	0	1
met	0	0	0	0
hulle	0	0	0	0
tafeldoek.	1	0	0	0

Daar	0	0	0	0
is	0	0	0	0
steeds	1	0	1	0
baie	0	0	0	1
sulke	0	0	0	0
mense.	0	0	0	0

Hierdie	1	0	0	0
dogtertjie	0	0	1	0
is	0	0	0	0
'n	0	0	0	0
sleutelfiguur	0	0	0	1
in	0	0	0	0
die	0	0	0	0
verloop	0	0	0	0
van	0	0	0	0
die	0	0	0	0
verhaal.	0	0	0	0

Die	0	0	0	0
hele	1	0	0	0
rit	0	0	1	0
duur	0	0	0	0
ongeveer	0	0	0	1
dertig	0	1	0	0
sekondes.	0	0	0	0

Hy	0	0	0	0
begin	1	0	1	0
sy	0	0	0	0
restourasie,	0	0	0	0
maar	0	1	0	0
dit	0	0	0	0
neem	0	0	0	0
tyd.	0	0	0	1

Waar	0	0	0	0
kom	0	0	0	0
die	0	0	0	0
goggas	0	0	0	1
vandaan	1	0	1	0
en	0	0	0	0
wat	0	0	0	0
noem	0	0	0	0
jy	0	0	0	0
dit?	0	0	0	0

Maar	0	0	0	0
dan	0	0	0	0
pak	0	0	1	0
'n	0	0	0	0
verskriklike	1	0	0	0
vertwyfeling	0	0	0	1
jou	0	0	0	0
skielik	0	0	0	0
beet.	0	0	0	0

Reeds	0	0	0	0
verskillende	0	0	0	0
plantspesies	1	0	1	0
is	0	0	0	0
in	0	0	0	0
die	0	0	0	0
natuurreservaat	0	0	0	0
aangeteken.	0	0	0	1

Sy	0	0	0	0
kinders	1	0	1	0
leef	0	0	0	0
hierdie	0	0	0	0
aanbidding	0	0	0	0
elke	0	1	0	0
dag	0	0	0	0
van	0	0	0	0
hul	0	0	0	0
lewens.	0	0	0	1

Hy	0	0	0	0
kan	0	0	0	0
met	0	0	0	0
gesag	1	0	1	0
praat	0	0	0	0
oor	0	0	0	0
hoe	0	0	0	0
om	0	0	0	0
dit	0	0	0	0
te	0	0	0	0
hanteer.	0	0	0	1

Hy	0	0	0	1
het	0	0	0	0
as	0	0	0	0
te	0	0	0	0
ware	0	0	0	0
sy	0	0	0	0
tou	1	0	0	0
ietwat	0	0	0	0
laat	0	0	0	0
skiet.	0	0	1	0

So	1	0	1	0
as	0	0	0	0
jy	0	0	0	0
swakhede	0	0	0	0
het	0	0	0	0
moet	0	0	0	0
dit	0	0	0	0
nie	0	0	0	0
wys	0	0	0	0
nie.	0	0	0	1

Laat	0	0	0	0
weet	0	0	0	1
maar	0	0	0	0
asseblief	0	0	0	0
wanneer	0	0	0	0
jy	0	0	0	0
weer	0	0	0	0
Durban	1	0	1	0
toe	0	0	0	0
kom.	0	0	0	0

Ek	0	0	0	0
hoop	0	0	0	0
en	0	0	0	0
vertrou	0	0	0	0
dat	0	0	0	0
bostaande	1	0	1	0
inligting	0	0	0	0
u	0	0	0	0
navraag	0	0	0	1
beantwoord.	0	0	0	0

God	0	1	1	0
het	0	0	0	0
weer	0	0	0	0
na	0	0	0	0
Sion	1	0	0	1
teruggekeer,	0	0	0	0
die	0	0	0	0
bewys	0	0	0	0
is	0	0	0	0
sinds	0	0	0	0
daar.	0	0	0	0

Ek	0	0	0	0
weet	0	0	0	0
presies	1	0	1	0
waarvan	0	0	0	0
jy	0	0	0	0
praat.	0	0	0	0

Telkens	1	0	1	0
moet	0	0	0	0
hy	0	0	0	0
ook	0	0	0	0
die	0	0	0	0
gevolge	0	0	0	0
van	0	0	0	0
sy	0	0	0	0
dade	0	0	0	0
dra.	0	0	0	0

Die	0	0	1	0
gesamentlike	1	0	0	0
blyplek	0	0	0	0
was	0	0	0	0
eers	0	0	0	0
'n	0	0	0	0
skuur.	0	0	0	0

Word	0	0	1	0
in	0	0	0	0
samewerking	1	0	0	0
met	0	0	0	0
die	0	0	0	0
Teologiese	0	0	0	0
Kollege	0	0	0	0
aangebied.	0	0	0	0

Alles	0	0	0	0
het	0	0	0	0
droewig	1	0	1	0
in	0	0	0	0
die	0	0	0	0
muwwerige	0	0	0	0
vertrekkie	0	0	0	0
gelyk.	0	0	0	0

Oor	0	0	0	0
liefdesverhale	1	0	0	0
laat	0	0	0	0
ek	0	0	0	0
my	0	0	0	0
egter	0	0	1	0
graag	0	1	0	0
en	0	0	0	0
met	0	0	0	0
passie	0	0	0	0
uit.	0	0	0	0

Meng	0	0	0	0
gelyke	0	0	0	0
dele	0	0	0	0
olyfolie	1	0	1	0
en	0	0	0	0
heuning	0	0	0	0
saam.	0	0	0	0

Die	0	0	0	0
ander	0	1	1	0
drie	0	0	0	0
was	0	0	0	0
natuurlik	0	0	0	0
Hosea	1	0	0	0
en	0	0	0	0
Jesaja	0	1	0	0
en	0	0	0	0
Miga.	0	1	0	0

So	0	0	1	0
klein	0	1	0	0
soos	0	0	0	0
my	0	0	0	0
rekenaarskerm	1	0	0	0
sou	0	0	0	0
ek	0	0	0	0
seker	0	0	0	0
kon	0	0	0	0
sê.	0	0	0	0

Meublement	0	0	0	0
bevestig	0	0	0	0
stilswyend	1	0	1	0
hul	0	0	0	0
roeping.	0	0	0	0

Strooi	0	0	1	0
die	0	0	0	0
res	1	0	0	0
van	0	0	0	0
die	0	0	0	0
sjokolade	0	0	0	0
stukkies	0	0	0	0
bo	0	1	0	0
oor.	0	0	0	0

Historiese	1	0	1	0
en	0	0	0	0
sistematiese	0	1	0	0
inleiding	0	1	0	0
in	0	0	0	0
die	0	0	0	0
meta	0	0	0	0
etiek.	0	0	0	0

Vel	0	0	1	0
wat	0	0	0	0
aan	0	0	0	0
bloed	1	0	0	0
blootgestel	0	0	0	0
raak	0	0	0	0
moet	0	0	0	0
dadelik	0	1	0	0
skoongemaak	0	0	0	0
word.	0	0	0	0

Nee	1	0	0	1
ek	0	0	0	0
praat	0	0	0	0
hier	0	0	0	0
van	0	0	0	0
een	0	1	1	0
vrou	0	0	0	0
en	0	0	0	0
twee	0	1	0	1
mans.	0	0	0	0

Onderhou	0	0	0	0
dan	0	0	0	0
die	0	0	0	0
sabbat,	1	0	1	0
want	0	0	0	0
dit	0	0	0	0
moet	0	0	0	0
vir	0	0	0	0
julle	0	0	0	0
heilig	0	1	0	1
wees.	0	0	0	0

Rasionaliteit	0	0	0	1
word	0	0	0	0
oorweldig	1	0	0	0
deur	0	0	0	0
emosionele	0	0	0	0
identiteit	0	1	0	0
en	0	0	1	0
konformiteit.	0	0	0	0

Erasmus	0	0	0	0
stel	0	0	0	0
voor	0	0	0	0
dat	0	0	0	0
daar	0	0	0	0
na	0	0	0	0
elke	1	0	1	0
vergadering	0	0	0	0
waarnemings	0	1	0	0
gedoen	0	0	0	0
word.	0	0	0	0

Jy	0	0	0	0
moet	0	0	0	0
goed	1	0	1	0
verstaan	0	0	0	0
wat	0	0	0	0
leuens	0	0	0	0
is,	0	0	0	0
naamlik	0	0	0	1
enige	0	0	0	0
doelbewuste	0	0	0	0
misleiding.	0	0	0	0

Plooie	0	0	1	0
laat	0	0	0	0
hom	0	0	0	0
ouer	0	1	0	0
voorkom	0	0	0	0
as	0	0	0	0
wat	0	0	0	0
sy	0	0	0	0
gespierde	1	0	0	0
arms	0	0	0	0
verraai.	0	0	0	0

En	0	0	1	0
ons	0	0	0	0
deel	0	0	0	0
in	0	0	0	0
stukkies	1	0	0	0
menswees	0	0	0	0
se	0	0	0	0
vreugdes	0	1	0	0
en	0	0	0	0
verdriet.	0	0	0	0

Die	0	0	0	0
een	1	0	1	0
kom	0	0	0	0
van	0	0	0	0
die	0	0	0	0
duiwel,	0	0	0	0
die	0	0	0	0
ander	0	1	0	1
van	0	0	0	0
Bo.	0	0	0	0

Daarom	0	1	1	0
word	0	0	0	0
gewaarsku	0	0	0	0
teen	0	0	0	0
oorhaastigheid	0	0	0	0
misbruik	0	0	0	0
van	0	0	0	0
alkoholiese	1	0	0	0
drankies,	0	0	0	0
postuurgroepsdruk,	0	1	0	0
ensovoorts.	0	0	0	0

Gaan	0	0	0	0
sit	1	0	0	0
nou	0	0	1	0
en	0	0	0	0
skryf	0	0	0	0
alles	0	0	0	0
neer.	0	0	0	0

Prooi	0	0	1	0
word	0	0	0	0
gewurg	1	0	0	0
voor	0	0	0	0
dit	0	0	0	0
kop	0	0	0	0
eerste	0	0	0	0
ingesluk	0	0	0	0
word.	0	0	0	0

Skaapwagters	0	0	1	0
het	0	0	0	0
in	0	0	0	0
daardie	1	0	0	0
tyd	0	0	0	0
die	0	0	0	0
sosiale	0	0	0	0
status	0	0	0	0
gehad	0	0	0	0
van	0	0	0	0
slootgrawers.	0	0	0	0

David	0	0	0	0
Kramer	0	0	0	0
sê	0	0	0	0
die	0	0	0	0
nostalgie	1	0	1	0
moet	0	0	0	0
deur	0	0	0	0
die	0	0	0	0
outentieke	0	0	0	0
vervang	0	0	0	0
word.	0	0	0	0

Daar	0	0	0	0
is	0	0	0	0
hope	1	0	1	0
blyplek	0	0	0	0
in	0	0	0	0
daardie	0	1	0	0
geweste.	0	0	0	0

Ook	0	0	0	0
hiervan	1	0	0	0
moet	0	0	0	0
jy	0	0	0	0
verskeie	0	1	1	0
afskrifte	0	0	0	0
maak.	0	0	0	0

Die	0	0	0	0
sneeu	1	0	1	0
het	0	0	0	0
hierdie	0	0	0	0
jaar	0	0	0	0
vroeg	0	1	0	0
gekom.	0	0	0	0

Ek	0	0	1	0
het	0	0	0	0
nooit	1	0	0	0
'n	0	0	0	0
enkele	0	1	0	0
oomblik	0	0	0	0
daaraan	0	0	0	0
getwyfel	0	0	0	0
nie.	0	0	0	0

Die	0	0	0	0
jongste	0	0	1	0
kopië	1	0	0	0
word	0	0	0	0
gewaarborg	0	0	0	0
vir	0	0	0	0
twee	0	1	0	0
jaar	0	0	0	0
onbeperkte	0	0	0	0
afstand.	0	0	0	0

Maar	0	0	0	0
is	0	0	1	0
dit	0	0	0	0
hoegenaamd	0	1	0	0
moontlik?	1	0	0	0

Ek	0	0	0	0
wil	0	0	0	0
u	0	0	0	0
graag	1	0	1	0
gelukwens	0	0	0	0
met	0	0	0	0
'n	0	0	0	0
pragtige	0	1	0	0
tydskrif.	0	0	0	0

Neem	0	0	0	0
vinnig	0	0	1	0
'n	0	0	0	0
toetsfoto	0	0	0	0
voordat	1	0	0	1
jy	0	0	0	0
'n	0	0	0	0
belangrike	0	0	0	0
foto	0	0	0	0
neem.	0	0	0	0

Gesonde	0	0	1	0
sosiale	0	0	0	0
verkeer	0	0	0	0
word	0	0	0	0
bewerkstellig	0	0	0	0
met	0	0	0	0
vasgestelde	1	0	0	0
kuiertye.	0	0	0	0

Roer	0	0	0	0
eiergeelmengsel	0	0	0	0
by	1	0	1	0
melkmengsel	0	0	0	0
in	0	1	0	1
en	0	0	0	0
meng	0	0	0	0
goed.	0	0	0	0

Onthou,	0	0	0	0
elke	1	0	1	0
wens	0	0	0	0
word	0	0	0	0
uitgespreek	0	0	0	0
as	0	0	0	0
'n	0	0	0	0
positiewe	0	0	0	0
doelstelling.	0	0	0	0

Op	0	0	0	0
dieselfde	1	0	1	0
plek	0	0	0	0
sien	0	0	0	0
ons	0	0	0	0
die	0	0	0	0
wrak	0	0	0	0
van	0	0	0	0
'n	0	0	0	0
Toyota	0	0	0	0
Condor.	0	0	0	0

Die	0	0	0	0
familie	0	0	1	0
het	0	0	0	0
hierna	1	0	0	0
oor	0	0	0	0
Wes	0	0	0	0
Duitsland	0	0	0	0
versprei.	0	0	0	0

In	0	0	0	0
die	0	0	0	0
groen	1	0	1	0
brosjure	0	0	0	0
is	0	0	0	0
die	0	0	0	0
vorm	0	0	0	0
op	0	0	0	0
bladsy.	0	0	0	0

Oortuig	0	0	1	0
hierdie	0	0	0	0
absoluut	1	0	0	0
rasionele	0	0	0	0
suiwer	0	1	0	1
empiries	0	0	0	0
gefundeerde	0	0	0	0
argument	0	0	0	0
jou	0	0	0	0
nie?	0	0	0	0

Alle	0	0	0	0
afbrekende	0	0	0	0
kragte	0	0	0	0
sal	0	0	0	0
eendag	1	0	1	0
uit	0	0	0	0
die	0	0	0	0
skepping	0	0	0	0
verdwene	0	0	0	0
wees.	0	0	0	0

Die	0	0	0	0
groep	0	0	0	0
het	0	0	0	0
aansienlike	1	0	1	0
insetkoste	0	0	0	0
wat	0	0	0	0
in	0	0	0	0
buitelandse	0	1	0	0
valuta	0	0	0	0
aangegaan	0	0	0	0
word.	0	0	0	0

Kry	1	0	1	0
iets	0	0	0	0
om	0	0	0	0
die	0	0	0	0
gebrande	0	0	0	0
vuurhoutjies	0	1	0	1
in	0	0	0	0
te	0	0	0	0
gooi.	0	0	0	0

Ek	0	0	0	0
het	0	0	0	0
my	0	0	0	0
eerste	1	0	1	0
verhaal	0	0	0	0
begin	0	0	0	0
op	0	0	0	0
jarige	0	0	0	0
ouderdom.	0	0	0	0

Ontspan	0	0	1	0
senuweestelsel	0	0	0	0
wat	0	0	0	0
hoofpyne	1	0	0	0
meebring.	0	0	0	0

Raak	0	0	1	0
betrokke	0	0	0	0
in	0	0	0	0
entrepreneursaktiwiteite.	1	0	0	0

Dit	0	0	0	0
is	0	0	0	0
onmoontlik	1	0	1	0
om	0	0	0	0
met	0	0	0	0
selfvoldaanheid	0	0	0	0
hieraan	0	0	0	0
te	0	0	0	0
dink.	0	0	0	0

Waar	1	0	1	0
het	0	0	0	0
die	0	0	0	0
destruktiewe	0	0	0	0
kringloop	0	0	0	0
van	0	0	0	0
gebeurtenisse	0	0	0	0
eintlik	0	0	0	0
begin?	0	0	0	0

Opvoeders	1	0	1	0
mag	0	0	0	0
nie	0	0	0	0
seksuele	0	0	0	0
verhoudings	0	0	0	0
met	0	0	0	0
leerders	0	0	0	0
hê	0	0	0	0
nie.	0	0	0	0

Baie	1	0	0	1
dankie	0	0	0	0
aan	0	0	0	0
die	0	0	0	0
mees	0	1	1	0
gedisiplineerde	0	0	0	0
ryers	0	0	0	0
van	0	0	0	0
die	0	0	0	0
klub.	0	0	0	0

Juis	0	0	0	1
daarom	1	0	0	0
is	0	0	0	0
die	0	0	0	0
potensiaal	0	0	0	0
vir	0	0	0	0
revolusie	0	0	0	0
tans	0	0	1	0
groter	0	1	0	0
as	0	0	0	0
ooit.	0	0	0	0

Regverdige	0	0	0	1
administrasie	0	0	0	0
aksies	0	0	0	0
deur	0	0	0	0
die	0	0	0	0
regering	1	0	1	0
moet	0	0	0	0
billik	0	0	0	0
wees.	0	0	0	0

Dis	1	0	1	0
hoe	0	0	0	0
jy	0	0	0	0
altyd	0	0	0	0
onthou	0	0	0	0
sal	0	0	0	0
word.	0	0	0	0

Dit	0	0	0	0
moet	0	0	1	0
'n	0	0	0	0
idee	0	0	0	0
eie	1	0	0	0
aan	0	0	0	0
jouself	0	0	0	0
wees.	0	0	0	0

Dis	0	0	0	0
nou	0	0	0	0
jou	0	0	0	0
werk	1	0	0	0
wat	0	0	0	0
ek	0	0	1	0
jou	0	0	0	0
gee	0	1	0	0
om	0	0	0	0
te	0	0	0	0
doen.	0	0	0	0

Dit	0	0	0	0
was	0	0	0	0
koppie	0	0	1	0
op	0	0	0	0
koppie	0	0	0	1
af	0	0	0	0
net	1	0	0	0
soos	0	0	0	0
die	0	0	0	0
padwysers	0	0	0	0
aandui.	0	0	0	0

Daarom	0	0	1	0
kom	0	0	0	0
verbind	0	0	0	0
Hy	0	0	0	0
sy	0	0	0	0
ewige	1	0	0	0
trou	0	0	0	0
aan	0	0	0	0
ons	0	0	0	0
